title,media,date,datetime,desc,link,img,Category
A Fast-Moving Coronavirus Means 'Slow Dating',The New York Times,1 day ago,2021-09-03 21:14:40.695059,Looking for love demands a little more discernment in the age of Covid.,https://www.nytimes.com/2021/08/31/well/live/dating-during-coronavirus-pandemic.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
COVID-19 Coronavirus Tracker – Updated as of September 3,| KFF,1 day ago,2021-09-03 21:14:40.697054,"This tracker provides the number of cases and deaths from novel coronavirus by country, the trend in case and death counts by country, and a global map of ...",https://www.kff.org/interactive/covid-19-coronavirus-tracker/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
"NSW Covid lockdown restrictions: update to Sydney, regional NSW and Canberra, ACT coronavirus rules explained",The Guardian,1 day ago,2021-09-03 21:14:40.699282,NSW will allow students to go back to school in a staggered return from October 25. Here's the full list of what you can and can't do in NSW and the ACT.,https://www.theguardian.com/australia-news/2021/sep/03/nsw-covid-19-lockdown-restrictions-sydney-suburbs-regional-new-south-wales-lgas-act-canberra-update-coronavirus-face-mask-rules-explained-5km-radius-travel-masks,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
Covid-19 map of the US: latest cases state by state,The Guardian,2 days ago,2021-09-02 21:14:40.701319,The US emerged as an early hotspot for the coronavirus and it continues to have some of the highest case and death rates in the world. It leads the world in ...,https://www.theguardian.com/world/ng-interactive/2021/sep/02/covid-19-coronavirus-us-map-latest-cases-state-by-state,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
Coronavirus in Russia: The Latest News | Sept. 1,The Moscow Times,2 days ago,2021-09-02 21:14:40.703276,"Russia has confirmed 6,937,333 cases of coronavirus and 184,014 deaths, according to the national coronavirus information center.",https://www.themoscowtimes.com/2021/09/01/coronavirus-in-russia-the-latest-news-sept-1-a69117,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
WHO monitoring new coronavirus variant named Mu,The Guardian,2 days ago,2021-09-02 21:14:40.705188,"Health body says Mu, or B.1.621, first identified in Colombia, has been designated as a variant of interest. Coronavirus – latest updates · See all our ...",https://www.theguardian.com/world/2021/sep/01/who-monitoring-new-coronavirus-variant-named-mu,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
UK records 207 deaths within 28 days of Covid test – as it happened,The Guardian,2 days ago,2021-09-02 21:14:40.707109,This blog is now closed – thanks for following along. You can see all our coronavirus coverage here.,https://www.theguardian.com/world/live/2021/sep/01/coronavirus-live-news-who-monitoring-new-mu-variant-stark-covid-divides-could-shape-europe-for-generations-study,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
"Surgical masks limit covid-19 spread, say authors of Bangladesh study",The Washington Post,3 days ago,2021-09-01 21:14:40.709030,"The pre-print paper, which tracked more than 340000 adults across 600 villages in rural Bangladesh, is by far the largest randomized study on the ...",https://www.washingtonpost.com/world/2021/09/01/masks-study-covid-bangladesh/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
Granit Xhaka: Arsenal midfielder tests positive for coronavirus on Switzerland international duty,Sky Sports,3 days ago,2021-09-01 21:14:40.711002,The 28-year-old was left out of the squad to face Greece in an international friendly in Basel on Wednesday evening after being diagnosed with symptoms ...,https://www.skysports.com/football/news/13958/12396980/granit-xhaka-arsenal-midfielder-tests-positive-for-coronavirus-on-switzerland-international-duty,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
Fake Vaccination Cards Were Sold To Health Care Workers On Instagram,NPR,3 days ago,2021-09-01 21:14:40.712906,"A New Jersey woman sold several hundred fake COVID-19 vaccination cards for $200 each and some went to people working in hospitals and nursing homes, ...",https://www.npr.org/sections/coronavirus-live-updates/2021/09/01/1033337445/fake-vaccination-cards-were-sold-to-health-care-workers-on-instagram,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Coronavirus
