title,media,date,datetime,desc,link,img,Category
Virgin Galactic pushes back on 'misleading' characterizations ...,Fox Business,1 hour ago,2021-09-04 15:00:53.889888,"Virgin Galactic pushes back on 'misleading' characterizations, conclusions in report on historic spaceflight. An FAA investigation into the test flight's ...",https://www.foxbusiness.com/technology/virgin-galactic-pushes-back-on-misleading-characterizations-conclusions-in-report-on-historic-spaceflight,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
Space lace: Scientists are working to make astronaut ...,TAG24.COM,8 hours ago,2021-09-04 08:00:53.893661,"Vienna, Austria – As space missions grow longer, new problems crop up. One of the most bedeviling is how to keep astronauts' underwear clean for longer – to ...",https://www.tag24.com/science/space-travel/space-lace-scientists-are-working-to-make-astronaut-underwear-cleaner-than-ever-2102997,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
Roddenberry helped advance humanity on Earth and beyond,Las Cruces Sun-News,9 hours ago,2021-09-04 07:00:53.894658,"While the idea of space travel had been explored for many years in novels by forward thinkers like H.G. Wells, Isaac Asimov and other masters of science ...",https://www.lcsun-news.com/story/life/sunlife/2021/09/04/roddenberry-helped-advance-humanity-earth-and-beyond/5699003001/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
3 Reasons Why Space Launch Systems Market May Double ...,,11 hours ago,2021-09-04 05:00:53.894658,SLS is intended to become the primary launch vehicle for deep space exploration. SLS is being developed in three major phases with increasing capabilities: ...,https://www.digitaljournal.com/pr/3-reasons-why-space-launch-systems-market-may-double-its-revenue-size-in-coming-decade,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
Razor Thin: A New Perspective on Earth's Atmosphere,Visual Capitalist,20 hours ago,2021-09-03 20:00:53.894658,Earth's Like an Onion: It Has Layers · Exosphere: The uppermost layer of our atmosphere that melds into outer space. · Thermosphere: Begins at around 80 km (50 ...,https://www.visualcapitalist.com/a-new-perspective-on-earths-atmosphere/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
"Dune review: Stirring sci-fi epic ends too soon, and that's good ...",CNET,23 hours ago,2021-09-03 17:00:53.902699,"Arrakis is the only source of spice, a substance that acts as the fuel for space travel in the Dune universe. On Arrakis, spice glitters in the very air, ...",https://www.cnet.com/news/dune-venice-film-festival-movie-review-stirring-sci-fi-epic-ends-too-soon-and-thats-good-and-bad/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
SpaceX Added A Glass Dome To Its Dragon Capsule So ...,Screen Rant,23 hours ago,2021-09-03 17:00:53.902699,"Inspiration4 is SpaceX's first all-civilian mission to orbit, ... including unmanned supply runs and manned space travel, but the upcoming journey will be ...",https://screenrant.com/spacex-inspiration4-glass-dome-dragon-capsule/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
Unmanned test space flights utilise runway near Aoraki/Mt ...,Stuff.co.nz,1 day ago,2021-09-03 16:00:53.902699,A test flight of space transportation company Dawn Aerospace's Mk-II Aurora suborbital spaceplane near Lake Pukaki and the Aoraki/Mt Cook National Park. A small ...,https://www.stuff.co.nz/timaru-herald/news/126225382/unmanned-test-space-flights-utilise-runway-near-aorakimt-cook-national-park,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
Firefly's Alpha Rocket Exploded After Detonation by the Space ...,Interesting Engineering,1 day ago,2021-09-03 16:00:53.910694,Space flight is hard. A little launch company saw a big boom late Thursday night when its Alpha rocket exploded after detonation as the Space Force ...,https://interestingengineering.com/fireflys-alpha-rocket-exploded-after-detonation-by-space-force,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
NASA Spaceline Current Awareness List # 965 3 September ...,,1 day ago,2021-09-03 16:00:53.910694,An analysis of the effects of spaceflight and vaccination on antibody ... more than ground control cells: Implications for long-term space travel.,http://spaceref.com/news/viewsr.html?pid=55121,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Space Travel
